"","pvalue.t1.t0","pvalue.t2.t0","pvalue.t4.t0","pvalue.t5.t0","pvalue.t6.t0","pvalue.t8.t0","pvalue.t10.t0","pvalue.t12.t0","pvalue.t14.t0","pvalue.t16.t0","pvalue.t20.t0","pvalue.t24.t0","pvalue.t30.t0","pvalue.t36.t0","pvalue.t42.t0","pvalue.t48.t0"
"FBgn0000003",0.696318028994708,0.387849809638125,0.71640448032989,0.0960714015202732,0.808283424556578,0.691795885231026,0.368079436401256,0.80795046057764,0.748845331032049,0.653895522600882,0.836333543117788,0.578887748333103,0.511355112267456,0.806548700256207,0.878312446274095,0.182272793836253
"FBgn0000008",0.144136595151539,0.423306374738514,0.857186265488623,0.479975701127897,0.179204386421019,0.505995313671562,0.83053465265219,0.994565053599056,0.953672545889845,0.74693105500432,0.702431812080343,0.740878583340659,0.953344222243133,0.847627299017223,0.579894307176436,0.91821380159198
"FBgn0000014",0.955860815445363,0.636518887238721,0.138925007462528,0.071986187276361,0.447486093448541,0.918475071499244,0.816354737922468,0.604445555124705,0.441719241907788,0.879768175966769,0.893285231018114,0.522587024641993,0.9765565943265,0.572015836675083,0.609073443380905,0.720136701769356
"FBgn0000015",0.143822969552555,0.334643021269631,0.994374987566702,0.992139150934081,0.378043885381334,0.33436899780491,0.494414065878421,0.569583476251519,0.416060510752185,0.978758847458558,0.508399475954869,0.794367303641734,0.794361720053842,0.460824403672994,0.766747185572832,0.986345336831609
"FBgn0000017",0.952787460928511,0.5603043954151,0.892025029177969,0.0179431890664085,0.711793340501166,0.512592333848793,0.621427561479867,0.77959355084222,0.30145065195859,0.780095783312476,0.895570605042913,0.775128185713113,0.528564946898319,0.634497892839823,0.58513101047253,0.970394386440902
"FBgn0000018",0.477104437288412,0.22299769733319,0.25205265818677,0.28481176242145,0.616314630333384,0.00451248977278636,0.934722160893295,0.385678867399204,0.0455984571628754,0.645709465896595,0.0717017944046797,0.257885438621709,0.908535031016557,0.143106173027837,0.0175659595545064,0.186888626660322
"FBgn0000024",0.210742829296114,0.158756683798632,0.0270979598418268,0.0545178500052276,0.580430862341526,0.0893864066184752,0.355003730707672,0.272013955830108,0.275508314141278,0.19534266807105,0.772951732069227,0.368283764414773,0.597666062341172,0.756818508418372,0.978199000940898,0.155264037947352
"FBgn0000028",0.292720441198999,0.0931769932859718,0.964444848074161,0.0635410771976529,0.858018808865897,0.386853143611237,0.0593382073149345,0.21107922716234,0.054798807829667,0.391227764468008,0.184928602469528,0.0644427934018322,0.208025148977985,0.081718601918643,0.00622461337004385,0.201855268400354
"FBgn0000032",0.384585931507569,0.576634314583964,0.93975879166181,0.0950695386733816,0.750916179646198,0.786702166881084,0.751089376219261,0.303256281899181,0.271699178739563,0.534958551861999,0.967898142998458,0.571048433351809,0.305051732721305,0.18516660551788,0.209595488213192,0.902063746857489
"FBgn0000036",0.615271269598376,0.928798914678721,0.234439099481929,0.566907609904978,0.767681680588326,0.235257425598118,0.704978289607034,0.294140153407439,0.974692087851315,0.803887027040375,0.682119523034032,0.348771024746921,0.625811390198017,0.699892628058088,0.83216862818388,0.967075174548308
