"","adj.pvalue.t1.t0","adj.pvalue.t2.t0","adj.pvalue.t4.t0","adj.pvalue.t5.t0","adj.pvalue.t6.t0","adj.pvalue.t8.t0","adj.pvalue.t10.t0","adj.pvalue.t12.t0","adj.pvalue.t14.t0","adj.pvalue.t16.t0","adj.pvalue.t20.t0","adj.pvalue.t24.t0","adj.pvalue.t30.t0","adj.pvalue.t36.t0","adj.pvalue.t42.t0","adj.pvalue.t48.t0"
"FBgn0000278",0.0163914305924099,0.0214649889431127,0.0613526814238167,0.132745758955669,0.239357760612727,0.17088687182989,0.260382739394614,0.293658749698889,0.587321223736939,0.454759459353362,0.144955038376837,0.240725275691037,0.255059217324108,0.259069437163515,0.131452978175325,0.315902837109963
"FBgn0000279",0.0152383954389228,0.0219455783734311,0.104039449901168,0.194094388877324,0.302986262568868,0.177360397084743,0.175251196588442,0.193834718144262,0.372599906069994,0.38552830505976,0.121902891677486,0.259436294974566,0.134120589958565,0.169349355524643,0.106256364867373,0.218428870034427
"FBgn0002565",0.890690774013376,0.721935653782916,0.207515931067148,0.205448328080245,0.0110105277929399,0.000444932907299512,0.000173845290889376,0.000680031966921766,0.00106663266775412,0.0763227345149018,0.121642995929493,0.36968011429767,0.231345214146116,0.616463998857288,0.895584812910274,0.847738717377358
"FBgn0002570",0.413287183103533,0.212287768071239,0.143455829266226,0.104449732494926,0.217684420328085,0.295223336962313,0.143171187294768,0.0700280232489085,0.00542050568936281,0.0115369713051385,0.00189697522153016,0.00213466266609688,0.00405348500553581,0.00211342493152465,0.000777942567357703,0.00244527148961882
"FBgn0002939",0.824101036526274,0.869048551327331,0.176844669210979,0.918209766313477,0.584054706194468,0.654880546770771,0.0763526442320105,0.205279200023223,0.0900244173316475,0.277307511538435,0.102505431855328,0.0885312758340472,0.0378057122056391,0.316994340335483,0.0295500344681847,0.0502442627643443
"FBgn0003068",0.531463723915875,0.277161114160377,0.0353779948621567,0.121679954024441,0.000252819159715409,7.54121412217769e-06,1.07682805482275e-06,1.58434943846101e-07,1.58434943846101e-07,1.58434943846101e-07,0.00194952861021117,0.977270401549775,0.0018718277493244,1.58434943846101e-07,3.84929885466638e-05,0.981923367545806
"FBgn0003499",2.62903431882918e-05,0.0058312716322106,0.560793539956754,0.979306940983053,0.920702743431935,0.733649493036086,0.440416487255144,0.386660216318769,0.789160444651358,0.915659981582817,0.817771424382743,0.38114320875563,0.89063482433062,0.535683749486599,0.477846884418234,0.253592359990668
"FBgn0004240",0.0405094805441268,0.0127876457945062,0.00807875305763504,0.00403367796252623,0.00498905880551996,0.00490383747939934,0.00810572883595587,0.00628935972480147,0.0128154835773421,0.017316152306204,0.00498905880551996,0.0966787808408438,0.00632597845112688,0.0396370661956928,0.00977330321334692,0.0152974503519689
"FBgn0005660",0.000673808329396291,0.00308661764540653,0.140082344081718,0.410366025234926,0.0791836119298134,0.468176495773624,0.408585231950915,0.514326320736135,0.354539041254885,0.70216237332922,0.433511234364979,0.708263092707921,0.621101927289021,0.478907267449584,0.953813021254821,0.386478800725861
"FBgn0010038",0.303150442623038,0.283697154119121,0.0219455783734311,0.192025860828301,0.0697005313956389,0.752793957159047,0.442408343405931,0.705077742088146,0.150838623318377,0.524587592271972,0.824101036526274,0.700126290042167,0.842038409835278,0.395267266142916,0.68714519792691,0.738985022750339
"FBgn0010040",0.401467507519807,0.169983925413962,0.0197224742794573,0.105912157838225,0.0490973042210599,0.621123084663592,0.405774061963454,0.43839959091548,0.135250884944997,0.482738915670525,0.481862019369682,0.396574053814631,0.544325563237321,0.209535470617474,0.685802563200523,0.66120490581796
"FBgn0010041",0.121041733658608,0.126795826293951,0.0250546528179311,0.0993832122356362,0.0582815260603975,0.759504249697268,0.279093227431384,0.285744170586859,0.0571590835215882,0.257631548056792,0.326702091648395,0.403408092739524,0.634167184798748,0.199189095900713,0.43973589885763,0.436734215686663
"FBgn0010044",0.215839522914701,0.0748823633728635,0.0523307119645077,0.312458639485226,0.397934870139894,0.991074190732813,0.924939546721802,0.803459164135422,0.558917683910264,0.500446561136793,0.0987512847277605,0.0338040276214843,0.224267662857554,0.0246412183449066,0.0124900136949826,0.0322651359151749
"FBgn0010052",0.637149761132492,0.186376220874467,0.216120359801729,0.643064552661442,0.49133021484618,0.681857576560186,0.153861225660591,0.00200713962719527,0.000890605135323732,0.000841448305038787,0.386267637015833,0.87980931701464,0.861866757526041,0.00609155323494519,0.0977151816654878,0.962341652867652
"FBgn0010222",0.170685104451927,0.346964576224157,0.026114741500599,0.00687295981500617,0.00383592519206933,0.06271479186433,0.153527157699758,0.539891140940693,0.393804831268437,0.742072804957004,0.678590547086498,0.90029636147847,0.34140870589274,0.227599351609504,0.937146952746044,0.224904423588048
"FBgn0010388",0.189575615968466,0.068149323193126,0.0262112779328567,0.0118092131759882,0.010601600577689,0.00443817042439267,0.00867509441675359,0.00657186893067889,0.0141578504178272,0.0107960000423397,0.00376161060645901,0.0573588684158791,0.00343675455406575,0.0207143048329871,0.00859431819611435,0.0109893188342925
"FBgn0012042",0.0195957356016423,0.00808262639463487,0.0140255290411771,0.0295998782036971,0.0443815463783475,0.0296892617886258,0.0843935833545991,0.0460214393297081,0.12507193345449,0.109433330267741,0.027552213197337,0.219892226944081,0.0266134547439656,0.0665433635917761,0.0427289151992676,0.113154308604958
"FBgn0013275",0.00300209419390887,0.0431312357405832,0.131695782178847,0.360101821179392,0.0516793690675876,0.747030173818441,0.446382864226622,0.744997032573973,0.445183958634573,0.694234763425875,0.689734810514655,0.845251376045197,0.592936615609786,0.281410591465201,0.974345114015559,0.435032315085096
"FBgn0013276",0.00301701847829868,0.0434751016476129,0.132303252531466,0.360516361652556,0.0519181237209683,0.75100796588317,0.444941519445442,0.746113920934126,0.445053890666021,0.701038657680685,0.691944422972631,0.85012870382627,0.592401542828084,0.282089704002281,0.973745356986403,0.43690303842178
