"","logFoldChange.t1.t0","logFoldChange.t2.t0","logFoldChange.t4.t0","logFoldChange.t5.t0","logFoldChange.t6.t0","logFoldChange.t8.t0","logFoldChange.t10.t0","logFoldChange.t12.t0","logFoldChange.t14.t0","logFoldChange.t16.t0","logFoldChange.t20.t0","logFoldChange.t24.t0","logFoldChange.t30.t0","logFoldChange.t36.t0","logFoldChange.t42.t0","logFoldChange.t48.t0"
"FBgn0000003",-0.286334876202055,-0.638343458185987,-0.266437399543579,1.26288881810259,0.177797985284896,-0.290845238796891,-0.66591584796432,0.178113399097217,0.23473316613027,0.329135607662227,-0.151346578859065,-0.407986592214367,-0.48352203231408,-0.179441664067229,-0.112141489384009,0.99920152244486
"FBgn0000008",-0.368536567065071,-0.198183614368713,0.0441962794384017,0.174510717919784,0.337483237090053,-0.164199025984497,0.0525699059895759,-0.00167223054849863,-0.0142625982135405,-0.0793228246966819,-0.0939626217435272,-0.0812951566864317,0.0143638013645315,0.0471927012132163,0.136422316659194,-0.0252114821166032
"FBgn0000014",0.00782842654790983,-0.0670282050461504,-0.215278091900519,-0.265344320112998,-0.108230181363993,-0.0144783064692198,0.0328685043968826,0.0735165289522679,-0.1096302647762,0.0213998803554412,0.0189774022836833,0.0909007648177074,-0.00415622927139925,0.0802485136408966,0.0725704573757446,0.0507552488010661
"FBgn0000015",-0.303958919457465,-0.197528346399675,-0.0014262654265389,-0.00199319604360593,0.180118195933884,0.197643046686444,0.139065565622139,0.115521722219517,0.165930034867529,-0.00538649559719051,0.134542690423155,-0.0527760332057552,0.0527775016848162,0.150241331295143,-0.0600785299068649,-0.00346239657964542
"FBgn0000017",0.0118255768133757,0.116822707189526,0.0271174688668685,-0.508571842614475,0.0739167185050054,-0.131499696043069,-0.0989373468643153,-0.0559486159722384,-0.209224318152826,-0.0558174982576807,-0.0262213918218475,-0.0571155330338291,-0.126506569911702,-0.0952247006334144,-0.109446641805607,0.00741264618939663
"FBgn0000018",0.0622035584436609,0.10796851009879,0.101254914342865,0.0943490995092104,0.0436977379763124,0.274568795044939,-0.00712044833867997,0.0761379406614306,0.183021720536457,0.0400714173535142,0.163263406261043,0.0999784780066144,0.00998852813901374,0.13085243304779,0.222194982346827,0.11732799925029
"FBgn0000024",-0.177440410727724,-0.200893337503901,-0.327268958390361,-0.280276762077437,-0.0771091787124796,-0.244996051401885,-0.129939844737031,-0.155014211693336,-0.153854682557389,-0.183857577348133,-0.0401337205118333,0.12631999951646,0.0735968677572192,0.0430820666709222,-0.00379727970263577,0.202680616956643
"FBgn0000028",-0.167422527153238,-0.273138327716997,-0.00699330265611176,-0.304330940454249,-0.0280766127070509,-0.137060597192057,-0.309760305794905,-0.200173435799859,-0.316024565185558,-0.135778277502761,-0.212730484639621,-0.30320786686118,-0.201574700052473,-0.283998442829271,-0.473580090238135,-0.204455302265135
"FBgn0000032",-0.0839841132098824,-0.0536216069751143,-0.00722995356206813,-0.165528728783618,0.030405040373898,0.0259097583847447,0.0303831186753651,0.0998276479211668,0.10678850468405,0.0596462684485015,0.00384993413670465,0.05441562171342,0.0994476536712101,0.129644997571837,0.122475326694445,-0.0117738711421174
"FBgn0000036",-0.0798515939133679,0.014153385883295,-0.191757846647866,-0.0910691459016411,0.0468380586632606,-0.191410682892367,-0.0600727396639735,-0.168510591835696,-0.00502442769536726,-0.0393590758864559,-0.0650059089767954,-0.150072858899481,-0.0774643278020557,-0.0611647295606228,0.0335826443821814,0.00653744570855963
"FBgn0000037",-0.146074311946358,-0.0266475184526689,-0.0460233739170386,-0.424708081223803,0.0734657735523419,-0.178923432534793,-0.0914789212586316,-0.0487328696877363,-0.131355141090325,-0.122324960053273,-0.163656486227385,-0.170422373320755,-0.10835717486843,-0.042530272526383,-0.119322472880757,-0.0465047583652547
