"","logFoldChange.t1.t0","logFoldChange.t2.t0","logFoldChange.t4.t0","logFoldChange.t5.t0","logFoldChange.t6.t0","logFoldChange.t8.t0","logFoldChange.t10.t0","logFoldChange.t12.t0","logFoldChange.t14.t0","logFoldChange.t16.t0","logFoldChange.t20.t0","logFoldChange.t24.t0","logFoldChange.t30.t0","logFoldChange.t36.t0","logFoldChange.t42.t0","logFoldChange.t48.t0"
"FBgn0002565",0,0,0,0,0,-3.82108901615005,-4.21998425488004,-3.62965654207396,-3.42118875783054,0,0,0,0,0,0,0
"FBgn0002570",0,0,0,0,0,0,0,0,2.14153887048181,0,2.45390573525214,2.42007872808092,2.22768941674478,2.42402399096264,2.74782077108897,2.37939711944904
"FBgn0003068",0,0,0,0,0,0,2.05544612990576,2.40107877955326,2.38843445213464,2.40510580212625,0,0,0,2.40160158921845,0,0
"FBgn0004240",0,0,6.45339427967754,7.10897643054501,6.90616307014073,6.9258565071181,6.45029846872116,6.69568022892,0,0,6.90723488717407,0,6.68837738873293,0,6.28362888817158,0
"FBgn0005660",2.75269665834826,2.27185339301904,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0010052",0,0,0,0,0,0,0,-2.03673509703017,-2.2521335088043,-2.27033879656417,0,0,0,0,0,0
"FBgn0010388",0,0,0,0,0,5.88817913076941,5.3579525377685,5.58379084759448,0,0,6.02299699281949,0,6.09068966747675,0,5.36480966309204,0
"FBgn0014396",0,0,0,0,0,0,0,2.14941671231102,2.53969261055716,2.56802309458433,0,0,0,2.42672540253646,2.5860078044233,0
"FBgn0014859",3.35418818489097,2.19443216628028,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0014865",0,4.85704871318152,5.8108037344103,6.51667846451907,6.32105874826565,6.63358497538277,6.14138154917056,6.42335407591356,6.13539223348072,5.73252676609365,6.46105718061462,0,6.94475504307872,5.70170675466515,6.15493039853417,5.64826757620881
"FBgn0015316",0,0,2.12784581677205,2.17222488710573,0,0,0,0,2.99601999303937,2.10324025657586,0,0,0,0,0,0
"FBgn0015570",0,0,-2.08954522973521,0,-2.0768843230907,0,0,0,0,0,0,0,0,0,0,0
"FBgn0016076",0,0,0,0,0,0,2.13439485874679,2.50558391293226,2.47925995184628,2.15009256280494,0,0,0,2.52450534021475,0,0
"FBgn0022772",0,0,0,0,2.12748260243244,2.46182965303339,2.13059453296182,0,0,0,0,0,0,0,0,0
"FBgn0025583",0,0,2.77804633382201,2.91374041317067,2.72621392162935,2.73947271694063,2.47216715923441,0,0,2.40525445876964,2.43935874429794,0,2.43129897573294,0,2.39892744058824,0
"FBgn0028532",0,0,0,0,0,0,0,0,0,0,0,0,2.1696090440814,0,2.33633257353556,2.30755125047944
"FBgn0028841",3.51196805658457,3.28252497842406,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0029795",0,0,0,0,0,0,0,2.11602051013118,0,0,0,2.14073524563406,2.40934293311949,2.5268900291423,2.21303049659762,2.09540521059669
"FBgn0030929",0,2.73405108844103,2.74046267466137,0,3.27426046828307,0,0,0,3.08586053074885,0,0,0,2.65499080787556,0,0,0
"FBgn0030994",2.22519975879464,2.29522239576113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0031034",0,0,0,0,4.62259477940102,0,0,0,4.22747614938976,0,4.12554677631563,0,3.91399808711204,0,0,0
"FBgn0031432",0,0,0,0,0,0,0,0,0,0,0,0,0,2.01478744226303,0,2.00846209032742
"FBgn0031942",0,0,0,0,0,-2.65892560168698,0,0,-2.62188753995014,0,0,0,0,-2.6645987972944,0,0
"FBgn0032049",0,0,0,0,0,0,2.20196168301941,2.16392917389767,0,0,0,3.17198321325013,2.86427763508573,2.20311951883184,0,2.28607739587536
"FBgn0032066",0,0,0,0,0,0,2.85215197730498,0,0,0,0,0,3.30305394068722,0,2.76058036870448,3.67569010122983
"FBgn0032068",0,0,0,0,0,0,0,0,0,0,0,0,3.58051063609591,0,0,4.07393844022374
"FBgn0032299",0,0,0,0,-2.10679862489862,-2.31003907126957,-2.80873831319931,-2.17073933841899,-2.30657420003182,0,0,0,0,-2.07902294830431,0,0
"FBgn0032381",0,0,0,2.55540419252355,2.4671294225845,2.65625855425652,0,0,0,0,0,0,2.50199043905943,0,0,0
"FBgn0032638",0,0,0,0,0,0,0,0,0,0,0,0,6.29359837022454,0,7.31153679581746,0
"FBgn0032639",0,0,0,0,0,0,0,0,0,0,2.97959511498759,0,3.55990945238828,0,4.08403036612002,0
"FBgn0033216",0,0,0,0,0,0,0,0,0,0,2.50973825563594,2.44733189581926,0,0,2.5769588580843,0
