"","dat_smoothed.1","dat_smoothed.2","dat_smoothed.3","dat_smoothed.4","dat_smoothed.5","dat_smoothed.6","dat_smoothed.7"
"FBgn0000003",4.68387809473957,4.21052196740311,4.13647330962553,5.52901060077788,6.06924967854406,5.91952075722461,4.24318386014204
"FBgn0000008",3.92561426510392,3.82785249147886,3.85463131520887,4.39170221633466,4.61720296268842,4.6335134635758,4.24795679731879
"FBgn0000014",3.86327894890122,3.78332194102339,3.68670637486381,3.46188906290649,3.41727782700464,3.46682506004301,3.74593718835805
"FBgn0000015",4.5712479647502,4.45667221059299,4.36572790408094,4.32535152213056,4.39030897612429,4.51510499783898,4.87197113748578
"FBgn0000017",5.64980744520789,5.87751013881212,5.9658223636204,5.57465014882395,5.37729762022037,5.36081730141908,5.69603173819495
"FBgn0000018",3.58053307974883,3.69467390843729,3.75114564496616,3.63416782643148,3.58430332314526,3.61924877373702,3.86017273264171
"FBgn0000024",5.78472122874092,5.63690889020164,5.52168335119381,5.45686082420916,5.48652874747267,5.53968955500115,5.68327141148589
"FBgn0000028",3.36780719498054,3.24397669044115,3.16286417316061,3.19098980195409,3.23623545729182,3.2587347818939,3.25218448028978
"FBgn0000032",4.86453335346224,4.88099408529262,4.87115677173894,4.75490890593242,4.71623274652157,4.7327805383395,4.8748997899843
"FBgn0000036",3.72296024880716,3.59207582743901,3.50221721318083,3.50065706994999,3.5210997540315,3.51039065264557,3.42201580897434
"FBgn0000037",3.86415841160963,3.96387763488244,3.99023657716858,3.75203158380385,3.64682083351283,3.65261142555507,3.88760351838666
"FBgn0000038",6.69304739753863,6.63634752977989,6.58053203069031,6.480582501093,6.44576717878301,6.42596242287249,6.4143134795777
"FBgn0000039",3.70312532830427,3.67634614081624,3.64751537718582,3.58096557242151,3.54666841780612,3.5139707050842,3.45200164488695
"FBgn0000042",9.78089542440375,10.0618359018735,10.2279986308708,10.051985385909,9.88602402748846,9.78739733206298,9.74030846525956
"FBgn0000043",7.41528164419292,7.66353428246901,7.80864014334142,7.65635905866596,7.53703868199332,7.50689670129274,7.63531114429825
"FBgn0000044",10.1013782409996,10.2227522935767,10.2460202034133,9.90350382317602,9.75083209662026,9.74661398501342,10.0369670695666
"FBgn0000045",9.5650462505024,9.47491726122351,9.4020023399352,9.34902559792333,9.36537952204815,9.40486233850256,9.52360838036466
"FBgn0000046",9.01729513171765,8.99206390091755,8.97168908051484,8.95124163191005,8.94205438870373,8.9276054317011,8.88783005216163
"FBgn0000047",5.46195144748418,5.54805988463745,5.58095911008139,5.44803733328914,5.41469625727633,5.4864461698246,5.83807685091262
"FBgn0000052",6.37213507728035,6.40345835759602,6.32843602699459,5.79610963058859,5.62405346212264,5.69180903746753,6.29912254341036
"FBgn0000053",6.5755291421004,6.77912796242479,6.82301641898026,6.26201343540999,5.98284116108546,5.91448475121592,6.20632466978183
"FBgn0000055",3.1422301007684,2.69421328280901,2.28991175908422,1.79466043358718,1.80124013096094,2.02165660446866,2.85432615376975
"FBgn0000057",5.77082716040962,5.74866739588231,5.71966913410838,5.6455495375098,5.63040251874577,5.64759516120934,5.74404199786464
"FBgn0000063",2.79334633069878,2.88873436354967,2.9651271830552,3.02608100860134,3.02921177288602,3.02807814739141,3.02177250167968
"FBgn0000064",10.5329569120034,10.4368620184928,10.3401521020017,10.1674612347038,10.1246721619386,10.1291495709128,10.2268571719101
"FBgn0000075",1.63538224270186,1.66085584865979,1.70299805965444,1.85515352990213,1.93139136710546,1.98594558658988,2.05092461628644
"FBgn0000077",3.07235423556543,3.18617514725191,3.282305141025,3.37424624239622,3.36701213059349,3.32622113784519,3.18540560847431
"FBgn0000078",9.81370259123684,10.0438323751129,10.2064009047313,10.228888172171,10.1878180099855,10.1795267766387,10.2384800628212
"FBgn0000079",10.3098687722752,10.5383737573222,10.7036085773747,10.7486196733197,10.718325459077,10.7146657147975,10.7704671417937
"FBgn0000083",8.01332375794676,8.57093272191787,8.90393316760423,8.57830493302193,8.26882615648618,8.09739180072951,8.06014981948626
"FBgn0000084",6.76873561782151,6.87319881338302,6.92621718605108,6.81239221410812,6.73550578280097,6.7047636887072,6.74051780423086
"FBgn0000092",1.0426865559298,0.543043366906916,0.194722937133351,0.204833022916149,0.381210049025115,0.541929572883712,0.802485229037856
"FBgn0000094",9.77168738768479,9.61438697437844,9.5527169570404,9.80719148544532,9.91364928616614,9.87256025112588,9.49380886483321
"FBgn0000097",4.72956175153214,4.86581336673946,4.9238320123368,4.71709949503947,4.60506623874429,4.58636030067033,4.74023568152265
"FBgn0000100",9.82534498501285,9.80906173942072,9.80313013943581,9.84063606501578,9.87302484045659,9.90638632515103,9.97277653155562
"FBgn0000108",6.48912731371432,6.43748514727688,6.3696152666332,6.19034419204144,6.14282376312238,6.16150245287567,6.32636395368587
"FBgn0000109",3.51561585551307,3.43012941884494,3.37757729544412,3.41519828588498,3.4504944622718,3.46019482117453,3.42474206593326
"FBgn0000114",8.50073878468386,8.52456600332687,8.51707595530253,8.38916245765148,8.35224973916011,8.3852444026557,8.58883450142817
"FBgn0000115",4.99537123885629,5.14370821024397,5.25243579149269,5.28615024328495,5.26051523641846,5.24148749278737,5.22407258037049
"FBgn0000116",10.7416852614978,10.6759565307701,10.6258319115654,10.5949590204599,10.5906218757394,10.5776652612431,10.5323396698535
"FBgn0000117",7.39456778019784,7.49762581403129,7.53838535726357,7.37713974050308,7.31635910440973,7.35842369532169,7.64836652998915
"FBgn0000119",4.44127487734156,4.52117725271787,4.54780123780096,4.39783524497095,4.34807379392377,4.39506921409782,4.68157885263015
"FBgn0000120",9.87941024826741,9.90779759684369,9.92890294205592,9.9425800895969,9.95144354611185,9.97201439307598,10.0366245281306
"FBgn0000121",10.3377344856615,10.3336450463313,10.3332743975234,10.3422694398892,10.3366668208052,10.315414971196,10.2427942167177
"FBgn0000139",5.04071183509745,4.9386462857625,4.8903079117731,5.01567907349435,5.08503477303274,5.09106296926325,4.97318713149166
"FBgn0000140",4.25420804639889,4.44835084149042,4.55870354723658,4.42467878247552,4.33144675087838,4.32010521059191,4.4684230698401
"FBgn0000146",2.84795285914261,2.83842922204627,2.82107369738012,2.76366040992621,2.75210521244104,2.76911336576086,2.85831759840354
"FBgn0000147",4.71453801676505,4.68480646239624,4.66586303811345,4.68321900690326,4.71321778193355,4.75181429641767,4.84288055976057
"FBgn0000150",8.57391565134813,8.49900225796398,8.44366239341552,8.42076290900678,8.42465296822062,8.41924241114044,8.38690482292136
"FBgn0000152",2.20018795555279,2.02704298058046,1.92054236270596,1.99246827544313,2.05450641235248,2.05697991808817,1.93635900504689
"FBgn0000153",6.48789736026527,6.64695456497179,6.69403410391138,6.32402801295379,6.122544977379,6.05029844748513,6.17145251621725
"FBgn0000157",3.39673006152674,3.35762449571554,3.32287059589022,3.29288745169356,3.31882315542918,3.38270910242843,3.58073110546582
"FBgn0000158",0.672950067011568,0.469385737724801,0.36891973776098,0.602435389292581,0.747657800457001,0.78806907093431,0.650891904491644
"FBgn0000163",5.10129884114916,5.30375064871702,5.38763773501747,5.08027250049469,4.93975949454037,4.96874559741976,5.3692296158391
"FBgn0000173",6.58438558014359,6.45786790677602,6.36372326340418,6.32462801870289,6.33797487146427,6.34396452501739,6.33540470235907
"FBgn0000179",1.93550551608171,2.2246451974316,2.39797384549712,2.24695227645336,2.12135274852212,2.0941663601493,2.24844551867663
"FBgn0000180",1.85233206501402,1.8723618015984,1.87523915183868,1.82617134859165,1.82963219835274,1.88544280057524,2.09879320470705
"FBgn0000181",8.3365377486897,8.34409557970085,8.33465281697632,8.26021029909971,8.24844920659443,8.28613529229339,8.45776271318587
"FBgn0000182",0.923960329381841,1.18642728478436,1.3027182069029,0.949080577336372,0.787692502961703,0.834416906439649,1.34852994963669
"FBgn0000183",5.76681904117427,5.82511587664244,5.83983839486927,5.69945652076443,5.64309429538009,5.65861346726922,5.83350741369387
"FBgn0000206",4.71751288948288,4.76926261288931,4.78761855952813,4.69355230457676,4.65593769702482,4.67215246248685,4.81246910463871
"FBgn0000212",5.38121875934509,5.50037192401163,5.57786607992839,5.55529799775775,5.52874565963164,5.54052672724505,5.64464295838969
"FBgn0000221",2.74194309657262,2.69553426047008,2.67974389246859,2.76991147330379,2.80980753852248,2.80402581646318,2.7004376736773
"FBgn0000228",5.20538206085247,5.30726327416846,5.34106826080851,5.13499581108627,5.0378862714998,5.03635402673697,5.22667951222976
"FBgn0000229",5.84486960370347,5.77832075230916,5.73534517431032,5.74481599374724,5.74872139776505,5.72083428169478,5.60053797576499
"FBgn0000233",0.22151019139653,0.734137616774587,1.02875563014019,0.71211197587716,0.517587513476392,0.570281469204748,1.18462254215616
"FBgn0000239",6.35416752949109,6.39685293530032,6.40326323285153,6.28829006381331,6.26778787199776,6.33429639655986,6.63801585311255
"FBgn0000241",2.5897334355263,2.20550458228768,1.9132846576675,1.80144973109206,1.93009841708546,2.13498373367898,2.66852952244573
"FBgn0000244",6.42132480902867,6.56264379415807,6.61716487389001,6.3754681895236,6.25881854381419,6.2604492058646,6.50356900397292
"FBgn0000246",2.24639767315328,2.03569424819396,1.93650848529947,2.21782717186996,2.4075834900848,2.50349786907287,2.4961401447353
"FBgn0000247",5.49867190820317,5.68098134188676,5.76338056433823,5.51864782705102,5.39022585244579,5.38633795287473,5.63287817176168
"FBgn0000250",7.01697032678752,7.41143918329428,7.61196002408699,7.18892151991261,6.91110553934543,6.81686044678025,7.01297151326074
"FBgn0000251",5.59693293357395,5.64082594448514,5.66590237960867,5.6468331009697,5.65098332286978,5.69440135165899,5.85878466711027
"FBgn0000253",9.77302785841473,9.78276375769916,9.77456560700208,9.68632640942771,9.64424851141161,9.62786195974933,9.64699639125097
"FBgn0000256",7.82565254979332,7.92076178621957,7.96251586330557,7.83389974448396,7.77869176317948,7.80314507410117,8.01253227706453
"FBgn0000257",4.30159861248756,4.43165054501971,4.50242491711961,4.39862784642247,4.33869730643803,4.34791876296427,4.50837116123101
"FBgn0000259",6.50297832950818,6.48589384286673,6.46008385002996,6.38507999754732,6.37026530577831,6.39109043890252,6.50138319061641
"FBgn0000261",9.70516321797684,9.77482996109229,9.80140411536698,9.67481777955932,9.60310314339695,9.57890477979449,9.62857868631456
"FBgn0000273",7.05756444812849,7.10565874101502,7.09805128332639,6.87109174538861,6.78531665725427,6.80212441276418,7.03968728698684
"FBgn0000274",5.57159196015085,5.55128447815542,5.57275409779481,5.77154966444273,5.84462766161834,5.83485679809228,5.65126989438396
"FBgn0000276",5.75326654547517,7.07266547412712,7.87298825825648,7.14491477049366,6.37248539855668,5.84500372395671,5.35745817070588
"FBgn0000277",4.69755263164412,6.72945667539133,7.96652223789212,6.88856340626918,5.75005874129076,5.01418204150178,4.4629474269137
"FBgn0000278",-0.432719019045422,3.07784661951755,5.15911729665121,3.00765545188903,0.991542612226115,-0.153679767552317,-0.51343513119467
"FBgn0000279",1.87120637477352,5.16941494309647,7.01630701532975,4.42912916069375,2.42502476774228,1.56587439521049,2.29672004178579
"FBgn0000283",5.74098617028153,5.74516854613537,5.72809737452223,5.62752759297205,5.61474955477541,5.66984458823026,5.91172448687548
"FBgn0000286",6.14667256476362,6.28339804149285,6.33274656448085,6.08214202018683,5.96814853856041,5.98077866172779,6.26166169908034
"FBgn0000287",4.43566167053782,4.53040549326447,4.58617103172998,4.52860086208587,4.47996035742663,4.46124559986121,4.48804733641904
"FBgn0000289",6.3532489686153,6.3969269277667,6.39602650529553,6.23871810309494,6.20839739200753,6.28807961506125,6.66298672552134
"FBgn0000299",6.41256498723552,6.40161800799162,6.33361343041557,6.03980993977323,6.03210800269056,6.24769471220888,7.10942134327491
