"","dat_smoothed.1","dat_smoothed.2","dat_smoothed.3","dat_smoothed.4","dat_smoothed.5","dat_smoothed.6","dat_smoothed.7","dat_smoothed.8","dat_smoothed.9","dat_smoothed.10","dat_smoothed.11","dat_smoothed.12","dat_smoothed.13","dat_smoothed.14","dat_smoothed.15","dat_smoothed.16","dat_smoothed.17"
"FBgn0000003",4.37247866697834,4.55096374113458,4.72389991621251,5.03092997282026,5.15392605619348,5.2491776441752,5.33814468980701,5.3025884380601,5.17646335844965,4.99421053951036,4.7902710697769,4.45319817565454,4.32497364324216,4.48269186494255,4.96446101973821,5.66226412993071,6.46808421782164
"FBgn0000008",3.89030032857028,3.97014452126801,4.04788339071721,4.18862386687595,4.24741482708844,4.29567917105831,4.35360835706548,4.36326454125045,4.33601313838667,4.28339476822128,4.21695005050143,4.08813003055134,4.00442276554731,3.95702580808839,3.98198632655879,4.05518516231541,4.15250315671515
"FBgn0000014",3.69952637492168,3.67813332450821,3.65761190728983,3.62267050521879,3.60999378675633,3.60167523426937,3.60099355296207,3.61995273797354,3.65333801317798,3.69585890156957,3.74222492614245,3.82562035113846,3.87888286723039,3.90807052958455,3.89031881988746,3.84127419548955,3.77658311374123
"FBgn0000015",4.35553655185041,4.39379552161694,4.43133037446748,4.50133126175666,4.53234906236332,4.55974627839004,4.60124166214532,4.62582153815248,4.63693382983333,4.63808385724788,4.63277694045613,4.6166346538311,4.60563659001526,4.59941360071425,4.60270149850173,4.61232998768154,4.62512877255751
"FBgn0000017",5.72063966406889,5.6992274745273,5.67839654901689,5.64080354621444,5.62520399698477,5.61251076791107,5.59777534660514,5.59628602518719,5.60478419841374,5.6199621385724,5.63851211795077,5.67267526106555,5.69166843651466,5.69423040585504,5.67279064604688,5.63534973347304,5.58990824451636
"FBgn0000018",3.61421970626282,3.62180832257333,3.62917795297138,3.64238431238027,3.64778306956621,3.65208689718986,3.65669120494263,3.65643233197118,3.65272576092431,3.64700664755607,3.64071014762052,3.6320454081639,3.63332041169684,3.6517663016654,3.68551738201339,3.72947192261435,3.77852819334179
"FBgn0000024",5.62177246556679,5.60248395001649,5.58394852421989,5.55214930090257,5.54039168288925,5.5323995136444,5.53021227513855,5.5451532860426,5.57295120699116,5.60927074795178,5.64977661889203,5.72624024310882,5.78193696353985,5.83010810043143,5.84553307224699,5.83912726734519,5.82180607408471
"FBgn0000028",3.2085681301803,3.21779620653211,3.2267463820531,3.24270142727936,3.249150495323,3.25421005921255,3.25922947560977,3.25781407542047,3.25137129062145,3.24133110373993,3.22912349730315,3.20385140272999,3.18244712540985,3.15731608817231,3.13864225868514,3.12427323436489,3.11205661262808
"FBgn0000032",4.80829839958818,4.80587180822702,4.80378325426575,4.80197240814242,4.80292619078014,4.80557016041729,4.8170252232176,4.83581510896037,4.85950042702376,4.88560983840193,4.91167200408905,4.95391085855809,4.97508486604819,4.97216185148863,4.93713133876481,4.88069582726482,4.81355781637674
"FBgn0000036",3.5966678711883,3.57458606655456,3.55318286015564,3.5151266350015,3.49983081271591,3.48792798160441,3.47655525178536,3.48062425144664,3.49629753105911,3.51968008683644,3.5468769149923,3.59734347697098,3.6293535109851,3.64590394110252,3.63332712215473,3.60133213716347,3.55962806915048
