"","top.ns.time_ID..df.1","top.ns.time_ID..df.2","top.ns.time_ID..df.3","top.AveExpr","top.F","top.P.Value","top.adj.P.Val"
"FBgn0033296",2.54653429257091,3.47882882880515,1.95326814399289,8.48642588084046,71.545932493199,1.06368738155514e-09,1.15454628138687e-05
"FBgn0032839",2.43417092089742,2.30938614542722,1.32428016136913,3.70407238944698,66.6713515438599,1.82436008751975e-09,1.15454628138687e-05
"FBgn0261930",2.30754758754124,2.44641943163211,1.50850373247102,3.08255997572384,56.6905747143484,6.22822006521779e-09,2.09256042210916e-05
"FBgn0033297",2.31930167207263,2.79552920692854,1.637390432131,8.00700219462712,56.0147237999488,6.81544071901151e-09,2.09256042210916e-05
"FBgn0034663",2.59748054863998,2.30516876541497,1.62525163754805,8.1836386551362,52.1365345711337,1.16583391051652e-08,2.09256042210916e-05
"FBgn0028396",1.27959645470216,9.18152670800102,0.363320492411962,9.53338844790898,51.4092424001413,1.29446318851983e-08,2.09256042210916e-05
"FBgn0035356",2.5267777094681,1.27907476771574,1.80386538435165,5.58547914640423,51.401047747234,1.29600035308098e-08,2.09256042210916e-05
"FBgn0002570",2.58038335838665,2.54900930333063,1.87560970091664,9.92320715014085,51.2608071145368,1.3226264815417e-08,2.09256042210916e-05
"FBgn0044812",1.32264324147169,9.7794558371418,-0.0332430157346005,8.49016381945497,49.4813383621326,1.71959516347189e-08,2.4183239982293e-05
"FBgn0002565",0.350420740375812,-5.84931307765563,1.53545577969845,4.42668069612859,47.272404204759,2.4106460766635e-08,2.78648656436192e-05
"FBgn0034664",2.00697775319484,1.83385127742714,1.72454976380315,6.46097742313966,46.8389660568024,2.58008956703819e-08,2.78648656436192e-05
"FBgn0031418",1.87529750196471,-0.0410603578104476,1.4555912184669,8.11012880341161,46.6888697473682,2.64184552203074e-08,2.78648656436192e-05
"FBgn0261575",2.89506347267371,0.998217928027796,1.87741999735302,9.3285244549106,45.8288888499886,3.02925620882387e-08,2.9493304488526e-05
"FBgn0037396",-2.12458233378994,7.045720583143,-1.33748523377004,4.72563096735063,42.0790391811529,5.65678907872491e-08,5.11414138353009e-05
"FBgn0038838",-2.06748674705294,3.35370263570927,-2.03599877321405,-0.353250003129407,40.1007109521688,8.02302830135756e-08,6.76983128068551e-05
"FBgn0035355",1.66239456740186,0.702193978952292,1.73775344030851,4.40621584594664,39.3772414349989,9.15113358422006e-08,7.23911861096708e-05
"FBgn0050360",2.47094907763904,2.1629197614656,1.48871288795998,8.62049031684104,37.9981888644235,1.18293370685178e-07,8.80728936918997e-05
"FBgn0044810",0.421568183513183,5.79753547243561,-1.23882049155533,6.20612247158757,36.852837064539,1.47315231532271e-07,0.000103587160305775
"FBgn0031701",1.03026949886409,14.6322334785228,1.18254398449065,7.48263823335253,35.0170584120505,2.12046093262678e-07,0.000135551644963437
"FBgn0263199",0.755883367249004,0.131843462665652,1.04115674319333,7.74950532632569,34.9674346226483,2.14192375702674e-07,0.000135551644963437
"FBgn0034247",2.41418864750006,1.14346104172648,1.89036236006576,7.45876514220985,34.6972145945173,2.26315423428066e-07,0.000136403538777573
"FBgn0001089",2.13150157017748,1.96263434828244,1.2324001491323,4.17947098084235,33.540787901328,2.87653109838435e-07,0.000165492064146594
"FBgn0037386",2.04605706240748,1.72191682791054,1.72818121443424,5.37915768531561,32.8383874751187,3.33911969974224e-07,0.000183753208867989
"FBgn0040252",1.00055976443301,1.46580145778649,0.879703201161618,3.96373197399365,32.4915488263125,3.5978690896476e-07,0.00018974262111529
"FBgn0051089",3.57641555866161,3.09207031074193,2.90747461901209,0.363797403453928,31.7065001813338,4.27075876050553e-07,0.00020230273781215
"FBgn0029155",1.37057101540536,0.139357223088111,0.903574354536582,7.79045578338582,31.5731178067531,4.39855646265441e-07,0.00020230273781215
"FBgn0032373",1.120791454984,1.37828563356265,0.95470386710555,5.0346675592068,31.5379340023326,4.43297741481647e-07,0.00020230273781215
"FBgn0001125",0.964653121632143,0.126662443840692,1.02849975153714,8.55608467614558,31.3722587822691,4.59916989297045e-07,0.00020230273781215
"FBgn0054040",3.8662950219709,2.49930837804041,2.84609459387556,5.11163669808194,31.3102594212247,4.66314860998601e-07,0.00020230273781215
"FBgn0050052",1.28155353822842,2.66821664958741,0.685994498596916,3.93607771997412,30.9751660586643,5.02667470262332e-07,0.00020230273781215
"FBgn0033949",1.6224340925252,3.04796541428025,0.482040197396431,2.89596822169591,30.9280886282005,5.08024528628284e-07,0.00020230273781215
"FBgn0043471",1.51181121633002,1.12812277128759,1.19648362953865,5.43993522781761,30.8980949361086,5.11470933869701e-07,0.00020230273781215
"FBgn0262357",2.92071996351254,4.94830266740014,2.19181343105118,4.55056257497433,30.5792162665057,5.497772082107e-07,0.000210864549221904
"FBgn0040942",1.84962107189438,0.765933289670311,1.0861477212812,3.81045606548657,30.2031701731424,5.99141672791452e-07,0.000223039298603571
"FBgn0038924",1.0258441306231,0.28561285039289,0.602209392085982,6.49336421313697,29.6418717891848,6.8233504913032e-07,0.000240181917576672
"FBgn0036738",2.22823132680097,7.19026778633835,1.64946124258015,5.73228415478764,29.6367993883291,6.83143638520991e-07,0.000240181917576672
"FBgn0034010",1.13624020607825,4.49453970319951,0.0927442796095097,2.38136686880362,29.2904064597053,7.40988343718982e-07,0.000253478093687869
"FBgn0041156",1.53946181771258,1.29633593682555,0.658128683803575,2.99652888973774,29.0843686180754,7.77987733421954e-07,0.000259131335313728
"FBgn0040923",1.07755951920674,1.87856752420052,0.434350388870827,4.86072533938558,28.2034104775019,9.61344644051196e-07,0.000309897514897599
"FBgn0051472",0.793003700106125,0.552600950339234,0.558946079388064,5.70524156112609,28.1271397172962,9.79371146077582e-07,0.000309897514897599
"FBgn0036024",2.07801177993527,1.09798553310854,1.543942406165,5.06683738831098,27.3860981843115,1.17568486374861e-06,0.000362942520011369
"FBgn0010385",1.91920350123414,7.8729622098415,0.417102684876822,5.23813494191674,27.244507831242,1.21801206773014e-06,0.000367056636696676
"FBgn0037973",1.58906844620749,0.932616060532133,1.33895361967206,6.30288718534485,26.7503260900999,1.37969114878902e-06,0.000406110485354016
"FBgn0010388",1.61053147610251,10.0747228548479,0.855351814747928,9.19232800344144,26.6451956731339,1.41710761703456e-06,0.00040764388883651
"FBgn0028537",-2.89849179511814,5.06715205802806,-2.53336349114319,2.65407142559439,26.391972743039,1.51198772552142e-06,0.000416026709607058
"FBgn0260954",-2.89849179511814,5.06715205802806,-2.53336349114319,2.65407142559439,26.391972743039,1.51198772552142e-06,0.000416026709607058
"FBgn0040383",0.746924645723606,0.75425055161735,0.538434816808127,5.65065673043045,25.8680538434834,1.73175900338917e-06,0.000459291510506114
"FBgn0043783",1.10287725323915,-1.39500286449398,0.861500973461012,9.19069749373004,25.8459189207989,1.74180236266836e-06,0.000459291510506114
"FBgn0039323",1.26057464422052,0.39879910411162,1.14728630483715,2.79271758807395,25.2605655536522,2.03261411541315e-06,0.000525036670587433
"FBgn0038257",2.25182429514982,-0.0431267120856275,1.4545467252943,8.43300880826678,24.990282745371,2.18495753289862e-06,0.000550598776451349
"FBgn0039349",0.826128683921768,0.351976304112008,0.636058693952857,6.81343226332704,24.9334777311919,2.2185776723567e-06,0.000550598776451349
"FBgn0002569",1.77495749442322,1.15826020930844,1.51958922883728,6.40979704619072,24.1674537578335,2.73346572696161e-06,0.000665336071272176
"FBgn0037870",1.89285522822769,1.71212326251146,1.58130350781677,1.88632934038095,23.7436669089965,3.07505459179113e-06,0.000734357848458498
"FBgn0035679",1.28384982588117,0.0186089979764338,0.993561072403663,5.97346255456148,23.3380671711564,3.44734727437047e-06,0.000800419453471322
"FBgn0038865",0.375567840577929,-1.15488746873683,1.06062006582133,5.68801484034913,23.2776815108634,3.50697729921193e-06,0.000800419453471322
"FBgn0085358",2.26996437851214,4.55322033095281,0.567722103323165,4.79273919188491,23.2026382986116,3.58269782175874e-06,0.000800419453471322
