"","dat_smoothed.1","dat_smoothed.2","dat_smoothed.3","dat_smoothed.4","dat_smoothed.5","dat_smoothed.6","dat_smoothed.7"
"FBgn0000003",5.53934809971067,4.96963274373803,4.62188575140707,4.89712108658545,5.1623474561074,5.27266458647186,5.15660061468846
"FBgn0000008",4.19765861693324,3.9234779246175,3.77630543499373,4.00468266909852,4.1305378906603,4.10231562461372,3.73051576102742
"FBgn0000014",3.77022787942024,3.7945487984812,3.80625135429683,3.7834100366571,3.78149234269977,3.80625522085081,3.90843587553217
"FBgn0000015",4.51415393861884,4.37626669561578,4.35519078076978,4.78203532137583,4.98413940879,5.02101813753902,4.76064235417383
"FBgn0000017",5.92523643645424,5.87985137375744,5.8567582292562,5.89951510000285,5.91768608366468,5.90320860386675,5.80839362565977
"FBgn0000018",3.55107982312499,3.6187094026902,3.6709774023639,3.71094923464505,3.72700938420916,3.759022787505,3.85616227398776
"FBgn0000024",5.8575398973486,5.70802454630677,5.61900914864122,5.6945314586858,5.74639254179336,5.73397138709856,5.5759957248761
"FBgn0000028",3.37422401850107,3.26202648019513,3.19937059218515,3.28588899069495,3.34857468368661,3.3670273618317,3.31067463813953
"FBgn0000032",4.7631814572275,4.71736912626977,4.70296471416678,4.80767889720469,4.87090624603858,4.90454926462108,4.90982136613666
"FBgn0000036",3.5250387607549,3.57348947924458,3.61131556727192,3.63286900127752,3.62322338421364,3.60572401519593,3.5582129569267
"FBgn0000037",4.01944981994306,3.89019613402112,3.82676509674238,3.96900176553995,4.04278254782514,4.03310246852364,3.84354014264496
"FBgn0000038",6.69732624256229,6.6536277077265,6.62575484732705,6.63073397969866,6.62641187800209,6.59407477963666,6.47357544864414
"FBgn0000039",3.83178008857061,3.71554904880934,3.65440927339716,3.75481980875932,3.80249809737835,3.77525017285127,3.56879032740877
"FBgn0000042",9.96136145112327,9.96540166392889,9.98435452051505,10.0678940107628,10.0815181790766,10.0455682658362,9.87761023565383
"FBgn0000043",7.42842631980557,7.51776850079718,7.58934842145852,7.64936338626399,7.65891146021509,7.66992446202857,7.69839767629961
"FBgn0000044",10.0569896208937,9.72243612540436,9.5291966111441,9.72569423154361,9.83950515159667,9.78463732454845,9.32918860688106
"FBgn0000045",9.75565306060403,9.25485830464984,8.9393086221074,9.09327377949649,9.22975865306521,9.18683576713767,8.72600772259962
"FBgn0000046",8.96716617544487,8.83413343851544,8.75397383016358,8.80913688887255,8.83759007922178,8.79765049494146,8.57851963883012
"FBgn0000047",6.29138310857013,5.41970208744026,4.84226745383762,5.01771605972325,5.35615766981653,5.5762413661124,5.73318633959913
"FBgn0000052",6.42931925004346,6.74202538697638,6.85950431652321,6.31504076627504,6.07000130495397,6.10993153915122,6.76478252151466
"FBgn0000053",6.73105483245086,7.38372108516439,7.67154838195223,6.74683217494764,6.2531758592906,6.20447919288215,7.01739331822423
"FBgn0000055",3.15929425307969,2.91398473639977,2.68172209152374,2.33921347379751,2.29725802747802,2.37611546928439,2.75763641984063
"FBgn0000057",5.6945450847211,5.6841324096579,5.69738612676915,5.80972917288842,5.84638622792434,5.8311985806618,5.69868397095744
"FBgn0000063",2.92747613655405,3.02629390945771,3.09140653813852,3.07524460406211,3.04968937777685,3.04968613072027,3.10461150270727
"FBgn0000064",10.673060299813,10.6012330765476,10.5183146717355,10.3190144931572,10.241190846373,10.2011905096218,10.1944192052539
"FBgn0000075",1.42922257510168,1.51802638563335,1.62895150288414,1.9161105403112,2.0134691007767,2.03252181474589,1.91919517493722
