"","dat_smoothed.1","dat_smoothed.2","dat_smoothed.3","dat_smoothed.4","dat_smoothed.5","dat_smoothed.6","dat_smoothed.7","dat_smoothed.8","dat_smoothed.9","dat_smoothed.10","dat_smoothed.11","dat_smoothed.12","dat_smoothed.13","dat_smoothed.14","dat_smoothed.15","dat_smoothed.16","dat_smoothed.17"
"FBgn0000003",5.09175212637815,5.08380238268562,5.07587257179935,5.06015247967064,5.05240206404073,5.04475131244212,5.02982293146475,5.01545608531204,5.00169751431401,4.98859325866326,4.97618935855241,4.95366179232418,4.93417853997268,4.90977281933634,4.88982826200473,4.87285781354294,4.85737441951605
"FBgn0000008",4.03292979848293,4.01529468122257,3.99817374329005,3.96753112271992,3.955037798738,3.94511537139529,3.9347105452653,3.93627167319852,3.94728344401151,3.96518937418663,3.98743298020627,4.03483901144573,4.07708493955946,4.13074459888077,4.17541628265019,4.21409598271835,4.24977969093588
"FBgn0000014",3.76069539968379,3.7717609063296,3.78258734901842,3.80256678669704,3.81124165377284,3.81872120106364,3.82929766345631,3.83439839751926,3.8353224993523,3.83338901292949,3.82991698222491,3.82356314331691,3.82252378088575,3.83014761360604,3.84627216616321,3.86806386527831,3.89268913767237
"FBgn0000015",4.45005943816435,4.50818200011973,4.56500257433969,4.66952980863168,4.71463249323287,4.75322523915698,4.80650938250028,4.82952611993723,4.82869247125374,4.81053000854425,4.78156030390318,4.71694855658561,4.66647886833223,4.61708256097034,4.59204015333955,4.58323367886284,4.58254517096317
"FBgn0000017",5.93368429497168,5.91013242303446,5.88695092245625,5.84318052081296,5.82333236246592,5.80533606091396,5.77616518315401,5.75591231112852,5.74320688985261,5.73665144803176,5.73484851437144,5.7399742745827,5.75130768206497,5.7772073892938,5.81134557968196,5.85097609217633,5.89335276572381
"FBgn0000018",3.60659428500185,3.62305902419427,3.63916828174953,3.66889842539999,3.68180834822087,3.69294086285598,3.70868154838968,3.71617794694267,3.71721107872708,3.71359068987624,3.70712652652344,3.6928118476811,3.68301020825099,3.67653453773983,3.67767452299271,3.68389161208828,3.69264725310519
"FBgn0000024",5.76029343816711,5.7404575973352,5.72130522957547,5.68778480556123,5.67478369545107,5.66519995070178,5.65856662825525,5.66764837864333,5.68882008239325,5.71840014236731,5.75270696142782,5.82096930439298,5.87603811845491,5.93559124894231,5.97380658126919,5.9977967148224,6.01467424898876
"FBgn0000028",3.36011065247267,3.32684157947236,3.29410340888148,3.23234338456579,3.20438333565987,3.17907779880114,3.13822561542669,3.10988982883431,3.09171151764339,3.08129072854377,3.0762275082253,3.07269329280395,3.06918850377683,3.06248564756757,3.05444451151653,3.0455111889043,3.03613177301149
"FBgn0000032",4.71672017656397,4.73836988823816,4.759606830374,4.79919132787722,4.8167133441679,4.83217151276682,4.85551154345947,4.86927148703221,4.87550877098811,4.87631411217069,4.87377822742346,4.86693722677153,4.86509783851105,4.87150903475849,4.88640928894525,4.90696891509155,4.93035822721764
"FBgn0000036",3.55783637803223,3.5649476190255,3.57162387536398,3.58193149545731,3.58469288990258,3.58527936107384,3.57851389696843,3.56227478856798,3.53964898624908,3.51376422813745,3.48774825235884,3.44765501333234,3.43349736892733,3.45501760605688,3.5161183346459,3.60360605754124,3.70428727758973
